date,url,rating,user,opinion
on 26 June 2018,/gp/customer-reviews/R17Y5C8PNKXZ1A?ASIN=B01DDP7D6W,4,Praveen H P,good
date,url,rating,user,opinion
on 16 July 2018,/gp/customer-reviews/R1ADBNH3U9T196?ASIN=B01DDP7D6W,4,Smart_User,Amazing durable phone. Great camera for below 10k price.
on 24 February 2017,/gp/customer-reviews/R3C0T7CH7D6UV4?ASIN=B01DDP7D6W,5,Rajiv B.,GOOD
on 22 October 2017,/gp/customer-reviews/R1W4WXEUPSAYXE?ASIN=B01DDP7D6W,3,Anand Pal Yadav,Samsung phone so good. But after few month latter. I am facing huge problem that is hang within 3 hours.
on 22 July 2018,/gp/customer-reviews/RPLO5W3QKAH3?ASIN=B01DDP7D6W,1,Amazon Customer,Battary heat up &  switch off repeatedly.i m so borring
on 22 September 2018,/gp/customer-reviews/R1TTVQ8LHEOQ46?ASIN=B01DDP7D6W,5,Amazon Customer,Good phone for parents. Rough n tough build.
on 26 September 2017,/gp/customer-reviews/RB6Q9WQ5C7B9J?ASIN=B01DDP7D6W,4,prajakta,Value for money
on 4 December 2017,/gp/customer-reviews/R3D8LQ1C83AHH1?ASIN=B01DDP7D6W,5,MALICK THIAW,GOOD PRODUCT
on 24 October 2016,/gp/customer-reviews/R2BAQ1VKGD1XR5?ASIN=B01DDP7D6W,4,Amazon Customer,Everything is working 5ne but with tempered glass the touch is not effective ..otherthan that you can go for it .....but late charging bit heating issue though
on 25 September 2017,/gp/customer-reviews/R2FT2UWSCI851T?ASIN=B01DDP7D6W,5,Amazon Customer,Nice phone in less price with brand.
on 28 June 2018,/gp/customer-reviews/R19N8QF6SHV899?ASIN=B01DDP7D6W,5,Rakesh Singh,I like it very much and now in I am using itIt is a good phone . . .
date,url,rating,user,opinion
on 21 March 2018,/gp/customer-reviews/R105LU3B8GV9VN?ASIN=B01DDP7D6W,2,ravi narang,Battery backup is not good takes too much time to charge
on 9 June 2018,/gp/customer-reviews/R3RNOP11TVTYBW?ASIN=B01DDP7D6W,5,Anoop Sharma,Good phone
on 27 February 2018,/gp/customer-reviews/R2KSOACOWELXHQ?ASIN=B01DDP7D6W,2,Amazon Customer,There's no headphone ...this is handset it handed out without them... moreover the sound is too low
on 15 October 2017,/gp/customer-reviews/R2XG8O9ML6F7HG?ASIN=B01DDP7D6W,3,Chandan Roy,I placed my order for Samsung on 7 pro. But I was dispatched galaxy on 7 pro.  Why ?Are the both products same ?
on 24 April 2018,/gp/customer-reviews/RXM2D82E2P4V8?ASIN=B01DDP7D6W,4,Ravinder Chauhan,good
on 10 July 2017,/gp/customer-reviews/R389FP7B1POF9J?ASIN=B01DDP7D6W,4,SHIJU,good product....usince two weeks using this phone
on 2 April 2018,/gp/customer-reviews/R9NNAP7NWOCC3?ASIN=B01DDP7D6W,5,Govind,nice products but screen is blinking on low brightness
on 4 May 2018,/gp/customer-reviews/R1AWSJEZ71JKM1?ASIN=B01DDP7D6W,1,Lakshmi nadh,Not a good handset.Hanging continually.Charging is big issue.
on 6 October 2017,/gp/customer-reviews/R85HVYC53ERQW?ASIN=B01DDP7D6W,1,nirmal,Please change this .its not working.We go to to Samsung gallery.They are reddy to make D OPlease help
on 2 December 2017,/gp/customer-reviews/R73HULBIXJBN4?ASIN=B01DDP7D6W,5,Sukesh,Nice product
date,url,rating,user,opinion
on 13 July 2018,/gp/customer-reviews/R3R62EIAU7EZBT?ASIN=B01DDP7D6W,1,Vansh b.,Worst phone I have ever used in my life.
on 24 January 2018,/gp/customer-reviews/R3NLFJELXHFXD?ASIN=B01DDP7D6W,5,Nagamani,nice prodect and working very good
on 16 July 2018,/gp/customer-reviews/RUPR440CX57W7?ASIN=B01DDP7D6W,4,Jhuma Mondal,Sound medium
on 18 August 2018,/gp/customer-reviews/R3TX2Q4PS6GLTQ?ASIN=B01DDP7D6W,5,Tarakant,THIS MOBILE IS VERY GOOD AT THIS PRICE AND SUPPORT ROOT+XPOSED I LOVE THIS MOBILE
on 10 February 2017,/gp/customer-reviews/R3V9IG4VKPUR1Y?ASIN=B01DDP7D6W,5,Nimmi J.,Good phone. All the descriptions are to the point. One of the best phones in this price range.
on 27 May 2017,/gp/customer-reviews/R27T75HC3RHC2I?ASIN=B01DDP7D6W,2,Amazon Customer,Below average phone. Camera quality is very bad.
on 11 February 2018,/gp/customer-reviews/R3SIQLEPB4V81Y?ASIN=B01DDP7D6W,4,Sreya Mondal,I bought the item today......but didn't receive the earphone.......it was not in the pack:-(
on 24 August 2017,/gp/customer-reviews/RALWXWJ35OGOR?ASIN=B01DDP7D6W,5,SUBHASIS S.,Nice purchase.
on 8 May 2018,/gp/customer-reviews/R2LFFBW7HDW7U2?ASIN=B01DDP7D6W,5,SELVAKUMAR PALANIYAPPAN,i love it
on 14 October 2017,/gp/customer-reviews/R3NIR20GRRBD0G?ASIN=B01DDP7D6W,5,RAJIB...RB ARYAN.,On7 is all rightBut again charger cable not found in on5 pro gold products box
date,url,rating,user,opinion
on 24 April 2018,/gp/customer-reviews/RB4VORAL08XNR?ASIN=B01DDP7D6W,1,Kulveer Singh,Do not Buy this one. phone is heating alot.
on 7 May 2018,/gp/customer-reviews/R27FDWIKPTA7Y8?ASIN=B01DDP7D6W,4,Dinesh,If this model has finger print sensor mns it will be the best phone under budget
on 28 February 2017,/gp/customer-reviews/R1EFL172RC25XJ?ASIN=B01DDP7D6W,1,Amazon Customer,Getting hanged. I have just crossed 15 days n it started hanging. Wat to do . plz reply
on 27 January 2018,/gp/customer-reviews/R1LZSDI4SS8XCI?ASIN=B01DDP7D6W,5,Amazon Customer,good
on 18 February 2018,/gp/customer-reviews/RUQLYKLJ4YPT1?ASIN=B01DDP7D6W,5,M.Jayaraji,Good phone.supper network
on 24 January 2018,/gp/customer-reviews/R16K8MM5ABIP18?ASIN=B01DDP7D6W,4,Amazon Customer,Product is good . But packing is not good
on 31 May 2017,/gp/customer-reviews/R2JQ55DTH1R4HU?ASIN=B01DDP7D6W,5,Santu M.,Very good phone for gaming and chatting it's suppot FIFA 14 game easily. Very good service of Amazon and also I get Rs 100 gift voucher.
on 27 October 2017,/gp/customer-reviews/R2YC1E0Q6M8LD0?ASIN=B01DDP7D6W,1,somanath,within 2 months it  atomatically becomes dead...samsung care center replaces mother board...dont buy it
on 12 September 2018,/gp/customer-reviews/R2NSSCJDPWYWCU?ASIN=B01DDP7D6W,3,Anil Sharma,But Cost is high as per other phone specification.
on 18 May 2018,/gp/customer-reviews/R1SL61SJJ3WOK?ASIN=B01DDP7D6W,1,JAMI TIRUPATHI RAO,It's okay
date,url,rating,user,opinion
on 19 May 2018,/gp/customer-reviews/R2RGMTCHCSLX2T?ASIN=B01DDP7D6W,4,Amazon Customer,Nice mobile at low cost. Good working. Value of  Money
